# XAUUSD DATA (Pazdzierik 2021)
# timestamp,  open,  high,  low,   close
1435708800000 1801.875 1802.628 1798.854 1800.448	
1435795200000 1800.468 1802.528 1799.654 1801.738	
1436140800000 1801.738 1802.378 1800.844 1802.368	
1436227200000 1802.378 1803.328 1801.224 1802.018
1436313600000 1802.018 1806.798 1794.888 1796.537
1436400000000 1796.547 1799.968 1794.378 1796.798
1436486400000 1796.778 1798.087 1791.718 1793.927
1436745600000 1793.927 1794.997 1791.228 1793.818
1436832000000 1793.824 1793.828 1791.694 1793.058
1436918400000 1793.058 1793.958 1792.288 1792.288
1437004800000 1792.314 1793.284 1790.658 1793.104
1437091200000 1793.104 1794.228 1791.594 1794.158
1437350400000 1794.218 1794.278 1792.994 1793.598
1437436800000 1793.018 1795.638 1793.018 1794.164
1437523200000 1794.244 1795.218 1793.434 1794.968
1437609600000 1794.968 1795.308 1793.528 1794.858
1437696000000 1794.878 1796.028 1792.328 1795.628
1437955200000 1795.624 1796.074 1794.104 1794.124
1438041600000 1794.124 1794.208 1790.884 1791.278
1438128000000 1791.238 1791.788 1789.558 1790.934
1438214400000 1790.934 1792.098 1785.794 1786.788
1438300800000 1786.728 1787.128 1783.952 1785.684

