# USDCHF DATA (Pazdzierik 2021)
# timestamp,  open,  high,  low,   close
1435708800000 0.92763 0.92805 0.92710 0.92791	
1435795200000 0.92792 0.92793 0.92707 0.92717	
1436140800000 0.92718 0.92719 0.92666 0.92683	
1436227200000 0.92683 0.92685 0.92639 0.92666
1436313600000 0.92666 0.92700 0.92649 0.92669
1436400000000 0.92671 0.92725 0.92644 0.92681
1436486400000 0.92684 0.92718 0.92593 0.92644
1436745600000 0.92642 0.92732 0.92614 0.92727
1436832000000 0.92726 0.92736 0.92662 0.92708
1436918400000 0.92710 0.92757 0.92656 0.92742
1437004800000 0.92741 0.92839 0.92731 0.92733
1437091200000 0.92732 0.92843 0.92727 0.92827
1437350400000 0.92826 0.92956 0.92803 0.92920
1437436800000 0.92920 0.93131 0.92907 0.93101
1437523200000 0.93102 0.93184 0.93049 0.93082
1437609600000 0.93081 0.93224 0.93070 0.93219
1437696000000 0.93219 0.93234 0.93148 0.93234
1437955200000 0.93233 0.93236 0.93181 0.93228
1438041600000 0.93230 0.93245 0.93199 0.93215
1438128000000 0.93215 0.93243 0.93195 0.93211
1438214400000 0.93152 0.93187 0.93056 0.93187
1438300800000 0.93187 0.93255 0.93127 0.93221

