# AUDUSD DATA (Pazdzierik 2021)
# timestamp,  open,  high,  low,   close
1435708800000 0.72903 0.72982 0.72889 0.72947	
1435795200000 0.72947 0.73020 0.72947 0.73018	
1436140800000 0.73018 0.73068 0.73008 0.73025	
1436227200000 0.73024 0.73094 0.73003 0.73085
1436313600000 0.73084 0.73170 0.73073 0.73161
1436400000000 0.73164 0.73212 0.73128 0.73168
1436486400000 0.73168 0.73193 0.73058 0.73093
1436745600000 0.73090 0.73092 0.72982 0.73030
1436832000000 0.73031 0.73104 0.73015 0.73089
1436918400000 0.73091 0.73179 0.73074 0.73102
1437004800000 0.73103 0.73134 0.72895 0.72904
1437091200000 0.72904 0.72924 0.72670 0.72737
1437350400000 0.72736 0.72782 0.72655 0.72748
1437436800000 0.72746 0.72816 0.72730 0.72735
1437523200000 0.72736 0.72750 0.72660 0.72670
1437609600000 0.72673 0.72749 0.72662 0.72714
1437696000000 0.72716 0.72754 0.72694 0.72718
1437955200000 0.72718 0.72719 0.72612 0.72613
1438041600000 0.72616 0.72654 0.72608 0.72654
1438128000000 0.72654 0.72668 0.72589 0.72643
1438214400000 0.72644 0.72650 0.72596 0.72630
1438300800000 0.72630 0.72679 0.72585 0.72594

